title,description,brand,category,price
ChargerCity AC Adapter Wall Charger Power Cable6' Ft by for Magellan Roadmate 1200 1210 1212 1220 1230 1340 GPS Manufacture Direct Warranty,ChargerCity GPS Accessories - ACWall GPS USB Power Adapter Cable,ChargerCity,AC Adapters,$12.95
BE.EZ 100399 LA Robe for MacBook Pro 15 (Black and White),"Initially designed for the Apple notebooks, LArobe is made in a soft, shape-memory material, ideal to dress your notebook in an original fashion while protecting it from mobile life worries.",be.ez,Sleeves,
Xonz XZ-31H-C 1.3 Megapixel IP Camera (White),"The XZ-31H-C is a high performance 1.3 megapixel zoom camera, this is a CCTV camera used for surveillance. It use 1/3"", 1.3 Mega-pixel CMOS, works with 4pcs IR Array leds to create 80-100 meters infrared distance for night vision to monitor in dark environment. It can be worked with NVR/DVR recorder, can be viewed through monitor, TV, PC, smart phone and etc. This security camera is designed for indoor and outdoor use, and can easily be mounted for the perfect viewing angle. Installation is easy and hassle free, just plugs and play. The camera can be used in following both outdoor and indoor monitor environment: Street, Garden, School, Family, Shop, Office, Building, Chain enterprise, Large factory machine room, Remote elder children nurse, Public buildings, Nobody dangerous environment monitor, Financial institution branch monitor, Traffic monitor and etc.",Xonz,Dome Cameras,
Cable HDMI Male to HDMI Male 25FT,"HDMI A Type to HDMI A Type, Male to Male, Audio / Video Cable. HDMI cables eliminate unnecessary signal conversions, supports high-definition video, multi-Channel digital audio WARNING: This product can expose you to chemicals including DEHP, which is known to the State of California to cause cancer and birth defects or other reproductive harm. For more information go to P65Warnings.ca.gov.",Cable,HDMI Cables,$8.50
KM216,"Overview AKG 3/8"" Male to 5/8"" Female Thread Adapter for Microphone Mounts and Stands.",AKG,Flash Accessories,$8.94
Suoran Lenove ThinkPad S1 Yoga 12.5 Inch Sleeve Case Cover Portable Computer Sleeve Laptop Bag Wool Felt Sleeve for ThinkPad S1 Yoga 12.5 Inch-Grey,"This simple but yet modern sleeve made of 100% natural wool felt which is 3-4mm thick. It provides the perfect protection from dust, scratches and light impact damage. Fitted with a closure made of vegetable leather, which is softer touching, better quality. Wool is a 100% natural material that sheds water and can protect your equipment like few other materials. It's a sustainable material that is a renewable resource. The wool that we use is very durable yet soft to the touch and has a rich vibrant color that will not fade. Your Laptop is protected from dust and scratches yet breathes. Timeless design sleeve shows a healthy respect for the planet, also pursuing natural form and simplicity.",Suoran,Sleeves,
8GB PRO USB DRIVE -RED,USB DataStick Pro line is reliable and affordable! Centon's DataStick Pro is made with a sturdy aluminum casing and is available in multiple colors and a full range of capacities. This affordable drive is ideal for personal use small business and schools.Primary InformationFlash Memory Type : USB flash drive Flash Memory / Form Factor : Flash Memory Memory / Interface Type : USB Flash Memory Capacity : 8 GB Features : Red; Dimensions: H 6.50 x W 4.38 x D 0.50 Service&SupportService & Support Type : Lifetime Warranty UNSPSC CodeUNSPSC Code : 32101622,Centon,USB Flash Drives,
"Neewer Four(4) Packs of Hot Shoe Flash Stand for Nikon SB-900 SB-800 SB-600 SB-910 Canon 580EX, 580EX II, Canon 430EX, 380EX, 220EX, 550EX, Sigma EF-500/Z3, Pentax AF-360FGZ, AF-540FGZ, AF-220T, AF-500FTZ, Olympus FL-20, FL-36, FL-50, Pansonic DMW-FL28, DMW-FL360, DMW-FL500","Note: This adapter don't fit Sony and Minolta flash Descriptions: Dimensions: 95 x 63 x 12mm (3.7"" x 2.5"" x 0.5"") Compatible with Nikon SB-900 SB-800 SB-600 SB-910 Works perfectly with shoe mount flash Color: Black Package Content: 4 x Speedlight Stand",Neewer,Shoe Mounts,$6.99
"Haier TCF20 20-Inch CRT TV with Built-In DVD Player, Silver","Enjoy your favorite television shows and movies on the TCF20 flat CRT television by Haier. The built-in DVD player offers flexibility and convenience by enabling you to watch movies regardless of where you place it in your house. It features a digital comb filter which cleans up fuzzy images and displays accurate colors and stable images. The V-Chip Parental Control allows you to set your television to deny access to shows rated inappropriate for children based on national ratings that range from TV-Y to TV-MA. With a built-in ATSC/NTSC tuner, you can watch both digital and analog channels relayed over the air. You can enjoy all the capabilities of the TCF20 with the component and AV inputs. Included with the TV is a full function remote control.",Haier,DVD Players,
MMMPF141W - 3m Blackout Frameless Privacy Filter for 14.1amp;quot; Widescreen Notebook,"Keeps on-screen information private. Darkens screen when viewed from the side for worry-free privacy. Provides effective privacy, consistent quality and clear, crisp images. Matte finish reduces glare. Diagonal Monitor Size: 14.1amp;quot; Fits Device Type: Notebook Frame Type: Frameless Mounting: Easy-On/Easy-Off Attachment System.",3M,Anti-Glare & Privacy Filters,
SanDisk 16GB Connect Wireless Flash Drive,"The SanDisk Connect Wireless Flash Drive includes all the benefits of a regular flash drive with the added convenience of wireless mobile access to your movies, photos, music, and documents from anywhere in the house or on-the-go. Avoid common hassles such as cables, attachment limits, and Internet availability and enjoy access to the content that matters most - anytime you need it. Features Compatibility and System Requirements - The SanDisk Connect Wireless Flash Drive requires a USB 2.0 connection or higher and is compatible with iPad, iPhone, iPod touch, Kindle Fire, and Android devices. It can be used with PC or Mac computers running Windows 8, Windows 7, Windows Vista, Windows XP, or Mac OS 10.6 or higher. For mobile devices - iOS version 5.0 or higher or Android version 2.3 or higher is required. A Web browser is required for other Wi-Fi enabled devices. Warranty - The SanDisk Connect Wireless Flash Drive is backed by a one-year limited warranty.Specifications Form Factor - USB flash drive Charging - USB port Operating temperature - 32 - 113 F (0 - 45 C) Storage temperature - -4 - 158 F (-20 - 70 C) Support - One year limited warranty Security - Optional Wi-Fi password protection (WPA2) Dimensions - 3.07 x 1.04 x 0.54 in. and 77.96 x 26.64 x 13.76 mm",SanDisk,USB Flash Drives,
Lexmark 200XL Black High Yield Return Program Inkjet Ink/Print Cartridge,Maximize your savings and enjoy lower printing costs on laser-quality documents. Each High Yield cartridge delivers up to 2500 pages to extend the time between cartridge replacements. Outstanding quality and reliability at a great value.,Lexmark,Data Cartridges,$52.16
Marumi 86mm Lens Protector Super DHG Filter - Marumi AMDSLP86,Ultra-low reflective coating minimizes reflection off internal CCD & CMOS sensors Low profile: Just 5mm high Multi-coated (6 coatings) optical glass filter. Hard protection: Coating guards from scratches. Made in Japan,Marumi,Polarizing Filters,$69.95
GPX BD707B CD Boombox (Discontinued by Manufacturer),"GPX BD707B 7"" Portable DVD Player with remote",RCA,Stereo System Components,
"Dell Inspiron i3543 15.6-Inch Touchscreen Laptop (Intel i3-5005U, 4GB RAM, 1TB HD, DVD RW, WiFi, Windows 8.1) Black","Comes with the 2015 newest 5th Generation Intel Dual Core i3 with 15.6""Touchscreen Display, 1TB huge hard drive. Great for Home and Student use. 15.6 in HD LED-backlit touchscreen with Truelife (1366 x 720), 10-finger multi-touch support; Intel HD Graphics 5500 with shared graphics memory Intel Core i3-5005U 2.00 GHz; 4GB DDR3L 1600 MHz; 1TB 5400 RPM HDD; DVD RW 1 USB 3.0 2 USB 2.0 HDMI Headphone output/Microphone input combo LAN (10/100/1000) Security lock port 3-in-1 card reader (SD/SDHC/SDXC); Waves MaxxAudio; 40WHr, 4-cell; 802.11b/g/n (Miracast enabled); Bluetooth 4.0; Windows 8.1, 64-bit; Free to Get Windows 10. Black",Dell,Traditional Laptops,
20ft RG58 Coaxial Cable Assembly,"This 20-Ft. RG-58 coax cable assembly is ideal for mobile and home antennas, plus various equipment hookups. Great for HAM, CB, shortwave and scanner use. Parts Warranty: 90 Days",RadioShack,Digital Coaxial Cables,$17.98
"Sony NP-FV100 Digital Camera Battery Replacement (3900mAh, 7.2V, Lithium-Ion) - Compatible with Sony DCR-HC32, HDR-CX220, HDR-CX190, DCR-SX85, NEX-VG30, HXR-NX30U, NEX-VG900, HDR-CX430V","Please note: This is an UpStart Battery brand replacement part, not an OEM product. This product is not affiliated with any OEM brands and is not covered under any warranties offered by the original manufacturers. Any warranties for this product are offered solely by Upstart Battery. All mentions of brand names or model descriptions are made strictly to illustrate compatibility. All brand names and logos are registered trademarks of their respective owners.",UpStart Battery,Camera Batteries,$1.98
4GB (2X2GB) Memory RAM for Compaq Presario F750US Laptop Memory Upgrade - Limited from Seifelden,Seifelden Memory RAM with 3 Year Warranty from Seifelden for your Laptop Notebook Computer Warranty: 3 Year Warranty with 100% Free Replacement from Seifelden Premier Brand Memory,Seifelden,Memory,$23.99
"LCD Back Cover fits MacBook Pro 15"" Unibody A1286 MC721 MC723 2011","LCD Back Cover fits MacBook Pro 15"" Unibody A1286 MC721 MC723 2011 LAPTOP CASE Condition: 90% New , with a little stratch , ORIGINAL Package include: 1X LCD BACK COVER Color: silver Compatible Laptop Model Include: MacBook PRO 15'' A1286 2011",SEENIGHT,Laptop Replacement Parts,
"Craig Electronics CMP791 -BUN 7"" Quad Core High Definition Touch Screen Tablet","Quad Core Processor 7 inch High Definition Digital Capacitive Touch Screen (1024 x 600 , 16:9) Operating System : Powered By Google Android Lollipop 5.1 8 GB Built-in Flash Memory Built-in Front and Rear camera Built-in Wi-Fi (802.11b/g/n) Built-in Bluetooth Wireless Technology (4.0) Multi-Point Touch Screen Supports 3D Gaming Accelerometer Mini HDMI AV Out Jack (1080p) USB On-The-Go : Micro USB to Connect to Computer and as Host for Jump Drive Connection Built-in Rechargeable Battery Built-in Speaker & Microphone Micro SD Card Slot (Supports Max. 32GB) Supports Google Play Store, Browser, e-Book Reader, e-Mail, Photos, Maps, Video, YouTube, Facebook, Twitter, Music, Clock 3.5mm Stereo Headphone Jack Connect With PC as Mass Storage Drive ACCESSORIES INCLUDED 7 Inch Case with Keyboard USB Cable USB OTG Cable AC/USB Adaptor",Craig Electronics,Tablets,$14.99
AGF Findings Portable Speaker Nylon Carrying Case for Jawbone BIG JAMBOX - Carrying Cases - Retail Packaging - Black,"Protects against bumps, scratches, dirt and dust, while providing convenient storage and carrying for your BIG JAMBOX and cables.",AGF Findings,Portable Audio & Video,
"Installerparts 40 Watts Frost Appliance Bulbs - 2pc/Pack - Also Great for Bathroom Lighting, Ceiling Lighting, Pendant Lighting and Much More!","Product Features Two 40-watt frosted appliance lightbulbs are a neccesity for bright, yet gentle light. The frosted lightbulb 2-packs are compatible with 120V power sources to supply the best light output. These 40-watt frosted bulbs are ideal for refrigerators and ovens, but can be used anywhere else in the home or office. Each of our lightbulbs is rated for 1200 hours of life and gives reliable service. Best Electronic Installation Products on the Market Achieve Installation Perfection with InstallerParts - Choice of Audio, Video, and IT Professionals! Industry Standard for Premium Quality Each item that we offer has been hand selected by our team and achieves our standards for premium quality. Our factory-partners employ industry environmental standards such as ISO9001, ISO14001 or RoHS. Best Pricing Same Day Shipping With our factory direct low pricing, fast same-day shipping, flexible 30-day Amazon-matched return policy and a lifetime warranty on most non-electrical items, you can purchase InstallerParts products with maximum confidence. Join the long list of satisfied InstallerParts customers by clicking the ""Add to Cart"" button at the top of the page NOW.",InstallerParts,Audio & Video Accessories,$2.49
